date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:33	2322/2322	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Jan%202020%2021:47:33%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fbands%2F&format=xml	web/images/embed7502	(from http://killtowndeathfest.com/bands/)
22:47:34	2252/2252	---MCZ	200	added ('OK')	application/json	date:Wed,%2022%20Jan%202020%2021:47:34%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fvirus-bio%2F	web/images/embeda88a.json	(from http://killtowndeathfest.com/virus-bio/)
22:47:35	2348/2348	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Jan%202020%2021:47:35%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fvirus-bio%2F&format=xml	web/images/embed425c	(from http://killtowndeathfest.com/virus-bio/)
22:47:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Jan%202020%2021:47:36%20GMT	http://killtowndeathfest.com/?p=329	web/index834e.html	(from http://killtowndeathfest.com/virus-bio/)
22:47:36	2337/2337	---MCZ	200	added ('OK')	application/json	date:Wed,%2022%20Jan%202020%2021:47:36%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fheavy-thunder-metal-market%2F	web/images/embed5c09.json	(from http://killtowndeathfest.com/heavy-thunder-metal-market/)
22:47:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Jan%202020%2021:47:37%20GMT	http://killtowndeathfest.com/?p=346	web/index17f1.html	(from http://killtowndeathfest.com/heavy-thunder-metal-market/)
22:47:37	2433/2433	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Jan%202020%2021:47:37%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fheavy-thunder-metal-market%2F&format=xml	web/images/embedbdbc	(from http://killtowndeathfest.com/heavy-thunder-metal-market/)
22:47:38	2226/2226	---MCZ	200	added ('OK')	application/json	date:Wed,%2022%20Jan%202020%2021:47:38%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fabout%2F	web/images/embedc824.json	(from http://killtowndeathfest.com/about/)
22:47:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Jan%202020%2021:47:39%20GMT	http://killtowndeathfest.com/?p=10	web/index64b4.html	(from http://killtowndeathfest.com/about/)
22:47:39	2322/2322	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Jan%202020%2021:47:39%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fabout%2F&format=xml	web/images/embedf5b8	(from http://killtowndeathfest.com/about/)
22:47:40	2241/2241	---MCZ	200	added ('OK')	application/json	date:Wed,%2022%20Jan%202020%2021:47:40%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fpartners%2F	web/images/embedd7c4.json	(from http://killtowndeathfest.com/partners/)
22:47:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Jan%202020%2021:47:41%20GMT	http://killtowndeathfest.com/?p=14	web/index0b69.html	(from http://killtowndeathfest.com/partners/)
22:47:41	2337/2337	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Jan%202020%2021:47:41%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fpartners%2F&format=xml	web/images/embed1d91	(from http://killtowndeathfest.com/partners/)
22:47:42	2221/2221	---MCZ	200	added ('OK')	application/json	date:Wed,%2022%20Jan%202020%2021:47:42%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fpast%2F	web/images/embed5554.json	(from http://killtowndeathfest.com/past/)
22:47:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Jan%202020%2021:47:43%20GMT	http://killtowndeathfest.com/?p=16	web/index0e62.html	(from http://killtowndeathfest.com/past/)
22:47:43	2317/2317	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Jan%202020%2021:47:43%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fpast%2F&format=xml	web/images/embed29e9	(from http://killtowndeathfest.com/past/)
